Name,Group,Description,Power,Amount,Manufacturer,Buying Price,Selling Price,Stock quantity,Requires prescription,Active
Goutnil,Colchicine,Mitotic poison terminating acute gout inflammatory attacks.,0.5mg,1 strip x 10 tablets,Eskayef Pharmaceuticals Ltd.,80,100,738, [✅], [✅]
Trex,Methotrexate,Antimetabolite managing severe rheumatoid arthritis pathways.,2.5mg,1 strip x 10 tablets,Aristopharma Ltd.,90,110,470, [✅], [✅]
Salazine,Sulfasalazine,Disease-modifying antirheumatic drug tracking bowel-joint tracks.,500mg,1 strip x 10 tablets,Drug International Ltd.,140,170,463, [✅], [✅]
Reconil,Hydroxychloroquine,Immunomodulator tracking systemic lupus erythematosus pipelines.,200mg,1 strip x 10 tablets,Radiant Pharmaceuticals Ltd.,160,190,376, [✅], [✅]
Azoran,Azathioprine,Purine synthesis blocker suppressing organ rejection layers.,50mg,1 strip x 10 tablets,Popular Pharmaceuticals Ltd.,280,330,426, [✅], [✅]
Cyclosporin,Cycloset Eye Drops,Immunosuppressant treating severe dry eye keratitis tracks.,0.05%,1 Dropper x 3ml,Beacon Pharmaceuticals PLC,420,500,444, [✅], [✅]
Sinemet,Levodopa + Carbidopa,Dopamine replenishment layout tracking Parkinson's systems.,100mg/25mg,1 strip x 10 tablets,Healthcare Pharmaceuticals Ltd.,190,230,1011, [✅], [✅]
Pramitrex,Pramipexole,Non-ergoline dopamine agonist processing restless legs syndrome.,0.25mg,1 strip x 10 tablets,Beximco Pharmaceuticals Ltd.,110,135,1188, [✅], [✅]
Memoprev,Donepezil HCl,Acetylcholinesterase inhibitor tracking Alzheimer's disease memory.,5mg,1 strip x 10 tablets,Square Pharmaceuticals PLC,130,155,479, [✅], [✅]
Mentix,Memantine HCl,NMDA receptor antagonist mitigating cortical excitotoxicity.,10mg,1 strip x 10 tablets,Incepta Pharmaceuticals Ltd.,180,215,217, [✅], [✅]
Betnovate,Betamethasone Valerate,Classic structural steroid treating eczematous flare lines.,0.1%,1 Tube x 20g,Opsonin Pharma Ltd.,48,60,933, [✅], [✅]
